key,subject,category,subtopic,difficulty,estimatedSeconds,correctChoice,stemWords,averageChoiceWords,auditStatus,residualRisk,officialOverlapWords,priorBatchOverlapWords,secondPassNotes,authorityNotes,attorneyRuleCheck,attorneyKeyCheck,editorialCheck,finalDisposition
orig-civpro-014,Civil Procedure,Jurisdiction and venue,Supplemental jurisdiction - claim by plaintiff against a Rule 14 party,HARD,125,A,100,16.0,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,MODERATE,8,8,"Second pass clarified that the original action rests solely on diversity, specified the third-party defendant's citizenship and amount, and removed any possible federal-question basis.",28 U.S.C. §§ 1332 and 1367(a)-(b) | Fed. R. Civ. P. 14(a)(3),,,,
orig-civpro-015,Civil Procedure,Motions,Rule 12 defenses - waiver by omission from the first Rule 12 motion,MEDIUM,95,B,78,17.2,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,6,0,"Second pass made clear that the first motion preceded the answer and that the omitted defense was personal jurisdiction, one of the waivable Rule 12(b)(2)-(5) defenses.","Fed. R. Civ. P. 12(g)(2), 12(h)(1)",,,,
orig-civpro-016,Civil Procedure,Pretrial procedures,Preliminary injunctions and temporary restraining orders - notice requirement,MEDIUM,105,C,72,14.5,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,Second pass separated the relief requested from relief potentially available and included both Rule 65(b) prerequisites so the question does not turn on a missing TRO fact.,"Fed. R. Civ. P. 65(a)(1), 65(b)(1)",,,,
orig-civpro-017,Civil Procedure,Pretrial procedures,Discovery - physical examination under Rule 35,MEDIUM,100,D,77,16.8,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,6,Second pass removed any dispute about whether the condition was in controversy and made the missing court order the single dispositive defect.,Fed. R. Civ. P. 35(a),,,,
orig-civpro-018,Civil Procedure,Appealability and review,Final judgment rule - unresolved claims and Rule 54(b),MEDIUM,105,A,75,14.5,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,7,Second pass specified that the claims are separate but that no Rule 54(b) direction or no-just-reason finding was made.,28 U.S.C. § 1291 | Fed. R. Civ. P. 54(b),,,,
orig-conlaw-014,Constitutional Law,The nature of judicial review,State sovereign immunity - prospective relief against a state officer,MEDIUM,110,B,80,17.0,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass limited the requested remedy to prospective injunctive relief and identified the officer charged with enforcement, avoiding ambiguity about retrospective treasury relief.","Ex parte Young, 209 U.S. 123 (1908) | Edelman v. Jordan, 415 U.S. 651 (1974)",,,,
orig-conlaw-015,Constitutional Law,The separation of powers,Congressional commerce power - aggregation of intrastate economic activity,MEDIUM,115,C,79,15.0,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass described a comprehensive regulation of a fungible interstate commodity and avoided relying on noneconomic conduct, which would trigger a different Commerce Clause analysis.","Wickard v. Filburn, 317 U.S. 111 (1942) | Gonzales v. Raich, 545 U.S. 1 (2005)",,,,
orig-conlaw-016,Constitutional Law,The separation of powers,Presidential power - refusal to spend funds that Congress directed be disbursed,HARD,120,D,70,15.8,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass eliminated any statutory discretion and framed the measure as a completed appropriation to identified eligible recipients, making the Take Care issue dispositive.","U.S. Const. art. II, § 3 (Take Care Clause) | Train v. City of New York, 420 U.S. 35 (1975) | Clinton v. City of New York, 524 U.S. 417 (1998)",,,,
orig-conlaw-017,Constitutional Law,Individual rights,Equal protection - state alienage classification and political-function exception,MEDIUM,105,A,64,14.2,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass selected a licensed clinical position with no policy-making authority, avoiding uncertainty about jobs such as police officers, teachers, or notaries that have generated political-function litigation.","Graham v. Richardson, 403 U.S. 365 (1971) | Sugarman v. Dougall, 413 U.S. 634 (1973) | Bernal v. Fainter, 467 U.S. 216 (1984)",,,,
orig-conlaw-018,Constitutional Law,Individual rights,Freedom of expression - licensing scheme with unbridled discretion,MEDIUM,110,B,75,14.0,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,Second pass added the lack of deadlines and prompt review while preserving unbridled discretion as the central defect; it also made the facial-challenge posture explicit.,"Shuttlesworth v. City of Birmingham, 394 U.S. 147 (1969) | City of Lakewood v. Plain Dealer Publishing Co., 486 U.S. 750 (1988)",,,,
orig-contracts-014,Contracts,Formation of contracts,UCC acceptance by shipment - nonconforming goods sent as an accommodation,MEDIUM,105,C,67,14.0,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,7,"Second pass placed the accommodation notice with the shipment, made it conspicuous and explicit, and avoided facts suggesting a prior contract independent of the purchase order.",U.C.C. § 2-206(1)(b),,,,
orig-contracts-015,Contracts,Defenses to enforceability,Statute of frauds - possibility of performance within one year,MEDIUM,100,D,68,15.0,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass stated that completion within 10 months was physically possible and that the contract imposed no minimum term, removing uncertainty about theoretical versus contractual possibility.",Restatement (Second) of Contracts § 130,,,,
orig-contracts-016,Contracts,Third-party rights,Assignment of rights - effect of a prohibition that does not make assignments void,HARD,125,A,82,15.8,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,MODERATE,0,0,"Second pass limited the assignment to an accrued monetary right, specified that the clause did not use voiding language, and established notice before payment.","Restatement (Second) of Contracts §§ 317, 322",,,,
orig-contracts-017,Contracts,Remedies,Liquidated damages - reasonable forecast of difficult-to-measure loss,MEDIUM,115,B,81,15.5,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass narrowed the gap between stipulated and actual loss and expressly established the reasonableness of the contemporaneous estimate, reducing penalty ambiguity.",Restatement (Second) of Contracts § 356 | U.C.C. § 2-718(1) (analogous sales rule),,,,
orig-contracts-018,Contracts,Third-party rights,Third-party beneficiaries - vesting and modification,MEDIUM,110,C,82,14.0,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,Second pass expressly negated each recognized vesting event and placed rescission before the daughter learned of the agreement.,"Restatement (Second) of Contracts §§ 304, 311",,,,
orig-crim-014,Criminal Law and Procedure,Other crimes,Embezzlement - conversion of property lawfully possessed,MEDIUM,95,D,75,12.5,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,7,"Second pass used an independent financial manager with a segregated client account, fixed the intent after lawful possession, and stated that the jurisdiction uses common-law offense definitions.",Common-law embezzlement doctrine,,,,
orig-crim-015,Criminal Law and Procedure,General principles,Self-defense - initial aggressor who withdraws and communicates withdrawal,MEDIUM,115,A,88,18.0,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,6,"Second pass added an explicit verbal and physical withdrawal, an imminent deadly threat, and no safe retreat so the result does not depend on jurisdictional retreat rules.",Common-law self-defense doctrine,,,,
orig-crim-016,Criminal Law and Procedure,Inchoate crimes; parties,Conspiracy - withdrawal after the agreement but before substantive offenses,HARD,125,B,74,9.8,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,MODERATE,0,6,"Second pass expressly supplied the jurisdiction's no-overt-act rule, placed withdrawal before the burglary, and included both communication and police notification.","Common-law conspiracy doctrine | Pinkerton v. United States, 328 U.S. 640 (1946)",,,,
orig-crim-017,Criminal Law and Procedure,Constitutional protection of accused persons,Fourth Amendment - consent by a co-occupant with common authority,MEDIUM,105,C,75,16.0,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,Second pass confined the search to undeniably shared areas and stated that the absent occupant had not made a contemporaneous objection.,"United States v. Matlock, 415 U.S. 164 (1974) | Georgia v. Randolph, 547 U.S. 103 (2006) | Fernandez v. California, 571 U.S. 292 (2014)",,,,
orig-crim-018,Criminal Law and Procedure,Constitutional protection of accused persons,Miranda - questioning by an undercover agent,MEDIUM,105,D,70,15.2,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass specified that no robbery charge had been filed and that the statement was voluntary, eliminating separate Sixth Amendment and due-process grounds for exclusion.","Illinois v. Perkins, 496 U.S. 292 (1990)",,,,
orig-evidence-014,Evidence,Hearsay and circumstances of its admissibility,Present sense impression - statement describing an event while observing it,MEDIUM,105,A,78,11.5,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,Second pass stipulated authentication and contemporaneous transmission so admissibility turns only on the hearsay exception.,Fed. R. Evid. 803(1),,,,
orig-evidence-015,Evidence,Hearsay and circumstances of its admissibility,Former testimony - unavailable declarant and prior opportunity with similar motive,HARD,120,B,84,15.2,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,MODERATE,0,0,"Second pass made the deposition a trial-preservation deposition prompted by terminal illness and included full cross-examination on the identical traffic-signal issue, making similar motive especially clear.","Fed. R. Evid. 804(a)(4), 804(b)(1)",,,,
orig-evidence-016,Evidence,Privileges and other policy exclusions,Liability insurance - admissible to show witness bias,MEDIUM,105,C,62,14.8,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,Second pass framed the evidence exclusively as employment-based bias and removed facts that might invite an improper inference of negligence.,Fed. R. Evid. 411 | Fed. R. Evid. 403,,,,
orig-evidence-017,Evidence,"Writings, recordings, and photographs",Original-writing rule - admissibility of a duplicate,MEDIUM,95,D,65,15.5,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass stipulated accuracy, removed authenticity and fairness concerns, and made the objection rest solely on the absence of the original.","Fed. R. Evid. 1001(e), 1003",,,,
orig-evidence-018,Evidence,Hearsay and circumstances of its admissibility,Prior identification - declarant testifies and is subject to cross-examination,MEDIUM,110,A,66,14.5,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass stated that the photo procedure was proper, kept the declarant on the stand, and used memory loss rather than total refusal to testify.","Fed. R. Evid. 801(d)(1)(C) | United States v. Owens, 484 U.S. 554 (1988)",,,,
orig-property-014,Real Property,Ownership of real property,Landlord-tenant - duty to mitigate after abandonment,MEDIUM,110,B,89,15.2,INTERNAL_SECOND_PASS_PASS_PENDING_ATTORNEY_REVIEW,LOW,0,0,"Second pass expressly adopted the modern majority rule, negated acceptance of surrender, and avoided stating how quickly this unit necessarily would have relet, so the answer properly describes the recoverable measure.","Modern majority landlord-tenant mitigation rule | Sommer v. Kridel, 378 A.2d 767 (N.J. 1977)",,,,
